Date,Revenue,MA_7,MA_30,Month_Name,Month_Number,Weekday,Weekend,Year,Month,Quarter,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_30,RollingMean7,RollingMean14,RollingMean30,RollingStd7,RollingStd30
2018-01-16,69517.92,56857.985714285714,36065.10866666667,January,1,Tuesday,0,2018,1,1,3,16,1,57469.17,41220.98,36574.33,44065.1,35947.090000000004,25305.02,56857.985714285714,51339.74857142857,36065.10866666667,14387.813374383708,18116.966858096454
2018-01-17,45591.7,54068.54714285715,36234.769,January,1,Wednesday,0,2018,1,1,3,17,2,69517.92,57469.17,41220.98,65117.77,42933.7,40501.89,54068.54714285715,51529.60571428571,36234.769,14412.340931296452,18183.658380587047
2018-01-18,40684.29,49121.18571428571,36629.829,January,1,Thursday,0,2018,1,1,3,18,3,45591.7,69517.92,57469.17,75315.82,44484.96,28832.49,49121.18571428571,51258.12928571429,36629.829,11566.117660256361,18145.997812363297
2018-01-19,40932.36,47427.25,36678.48666666667,January,1,Friday,0,2018,1,1,3,19,4,40684.29,45591.7,69517.92,52789.91,41810.24,39472.63,47427.25,51195.423571428575,36678.48666666667,11805.096834635962,18155.837942093323
2018-01-20,32575.02,46855.92,36982.05066666667,January,1,Saturday,1,2018,1,1,3,20,5,40932.36,40684.29,45591.7,36574.33,47725.58,23468.1,46855.92,50113.24071428572,36982.05066666667,12494.530838964383,18002.833761369668
2018-01-21,32607.28,45625.39142857143,37347.852333333336,January,1,Sunday,1,2018,1,1,3,21,6,32575.02,40932.36,40684.29,41220.98,41294.45,21633.23,45625.39142857143,49492.72857142857,37347.852333333336,13523.754375205117,17790.443653724633
2018-01-22,54598.11,45215.24,38594.06033333333,January,1,Monday,0,2018,1,1,4,22,0,32607.28,32575.02,40932.36,57469.17,58436.55,17211.87,45215.24,49218.55428571429,38594.06033333333,13142.859992899766,17640.098570913065
2018-01-23,51429.16,42631.131428571425,40062.585333333336,January,1,Tuesday,0,2018,1,1,4,23,1,54598.11,32607.28,32575.02,69517.92,44065.1,7373.41,42631.131428571425,49744.55857142857,40062.585333333336,8540.665855963029,16763.39717041844
2018-01-24,45877.05,42671.89571428572,41097.566666666666,January,1,Wednesday,0,2018,1,1,4,24,2,51429.16,54598.11,32607.28,45591.7,65117.77,14827.61,42671.89571428572,48370.221428571436,41097.566666666666,8557.815420193034,16096.906411479664
2018-01-25,41966.65,42855.090000000004,41573.83766666667,January,1,Thursday,0,2018,1,1,4,25,3,45877.05,51429.16,54598.11,40684.29,75315.82,27678.52,42855.090000000004,45988.13785714286,41573.83766666667,8521.825925375291,15896.3029262966
